RotMat,OrthoRotMat,Quat,OrthoQuat
5.666,5.433,1.849,1.625
7.781,8.427,3.081,2.698
8.937,9.503,3.311,2.907
6.075,5.912,2.107,1.783
6.849,7.05,2.493,2.14
9.285,10.07,3.508,3.043
7.832,8.613,3.164,2.781
5.912,5.847,2.025,1.739
6.061,6.007,2.066,1.798
5.928,5.861,2.06,1.772
6.067,6.06,2.132,1.835
5.907,6.001,2.077,1.797
6.577,6.423,2.054,1.763
6.136,5.977,2.068,1.797
8.29,8.741,3.023,2.653
9.155,9.911,3.352,2.913
5.542,5.588,1.97,1.682
5.791,5.764,1.98,1.756
6.589,6.323,1.99,1.678
5.614,5.622,1.941,1.668
5.9,5.883,2,1.722
7.769,8.166,2.862,2.496
5.986,5.89,2.002,1.785
6.655,6.451,2.112,1.82
6.557,6.811,2.352,2.026
7.833,7.875,2.78,2.387
5.976,5.871,2.025,1.781
5.645,5.584,1.905,1.662
5.913,5.816,2.011,1.726
5.588,5.506,1.864,1.649
